"product_id","order_id","product_name","aisle","department","product_price"
1,48361,"Chocolate Sandwich Cookies","cookies cakes","snacks",76000
1,63770,"Chocolate Sandwich Cookies","cookies cakes","snacks",76000
1,6695,"Chocolate Sandwich Cookies","cookies cakes","snacks",76000
1,75339,"Chocolate Sandwich Cookies","cookies cakes","snacks",76000
3,72425,"Robust Golden Unsweetened Oolong Tea","tea","beverages",39000
9,112891,"Light Strawberry Blueberry Yogurt","yogurt","dairy eggs",81000
10,14172,"Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages",66000
10,5368,"Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages",66000
10,50978,"Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages",66000
10,80409,"Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages",66000
10,63399,"Sparkling Orange Juice & Prickly Pear Beverage","water seltzer sparkling water","beverages",66000
16,75159,"Mint Chocolate Flavored Syrup","ice cream toppings","snacks",53000
23,67858,"Organic Turkey Burgers","packaged poultry","meat seafood",54000
23,12032,"Organic Turkey Burgers","packaged poultry","meat seafood",54000
25,15853,"Salted Caramel Lean Protein & Fiber Bar","energy granola bars","snacks",63000
25,26611,"Salted Caramel Lean Protein & Fiber Bar","energy granola bars","snacks",63000
29,95054,"Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn","canned jarred vegetables","canned goods",47000
34,71929,"Peanut Butter Cereal","cereal","breakfast",68000
34,112953,"Peanut Butter Cereal","cereal","breakfast",68000
34,98453,"Peanut Butter Cereal","cereal","breakfast",68000
34,71227,"Peanut Butter Cereal","cereal","breakfast",68000
34,4494,"Peanut Butter Cereal","cereal","breakfast",68000
34,33840,"Peanut Butter Cereal","cereal","breakfast",68000
34,72081,"Peanut Butter Cereal","cereal","breakfast",68000
34,79834,"Peanut Butter Cereal","cereal","breakfast",68000
34,6764,"Peanut Butter Cereal","cereal","breakfast",68000
34,113093,"Peanut Butter Cereal","cereal","breakfast",68000
36,77043,"Traditional Lasagna with Meat Sauce Savory Italian Recipes","frozen meals","frozen",7000
37,8704,"Noodle Soup Mix With Chicken Broth","soup broth bouillon","canned goods",12000
37,112314,"Noodle Soup Mix With Chicken Broth","soup broth bouillon","canned goods",12000
41,53676,"Organic Sourdough Einkorn Crackers Rosemary","crackers","snacks",8000
45,17829,"European Cucumber","fresh vegetables","produce",80000
45,122817,"European Cucumber","fresh vegetables","produce",80000
45,45399,"European Cucumber","fresh vegetables","produce",80000
45,26809,"European Cucumber","fresh vegetables","produce",80000
45,106021,"European Cucumber","fresh vegetables","produce",80000
45,96005,"European Cucumber","fresh vegetables","produce",80000
45,102758,"European Cucumber","fresh vegetables","produce",80000
45,70642,"European Cucumber","fresh vegetables","produce",80000
45,80777,"European Cucumber","fresh vegetables","produce",80000
45,46362,"European Cucumber","fresh vegetables","produce",80000
45,30959,"European Cucumber","fresh vegetables","produce",80000
45,4562,"European Cucumber","fresh vegetables","produce",80000
45,85479,"European Cucumber","fresh vegetables","produce",80000
45,68496,"European Cucumber","fresh vegetables","produce",80000
45,99731,"European Cucumber","fresh vegetables","produce",80000
45,79573,"European Cucumber","fresh vegetables","produce",80000
45,80721,"European Cucumber","fresh vegetables","produce",80000
45,61021,"European Cucumber","fresh vegetables","produce",80000
45,83914,"European Cucumber","fresh vegetables","produce",80000
45,57451,"European Cucumber","fresh vegetables","produce",80000
45,58220,"European Cucumber","fresh vegetables","produce",80000
45,82314,"European Cucumber","fresh vegetables","produce",80000
45,53343,"European Cucumber","fresh vegetables","produce",80000
45,103905,"European Cucumber","fresh vegetables","produce",80000
45,79961,"European Cucumber","fresh vegetables","produce",80000
45,82206,"European Cucumber","fresh vegetables","produce",80000
45,75781,"European Cucumber","fresh vegetables","produce",80000
45,106526,"European Cucumber","fresh vegetables","produce",80000
45,87953,"European Cucumber","fresh vegetables","produce",80000
47,112935,"Onion Flavor Organic Roasted Seaweed Snack","asian foods","international",30000
48,70859,"School Glue, Washable, No Run","more household","household",34000
49,72207,"Vegetarian Grain Meat Sausages Italian - 4 CT","tofu meat alternatives","deli",47000
54,33757,"24/7 Performance Cat Litter","cat food care","pets",28000
54,15213,"24/7 Performance Cat Litter","cat food care","pets",28000
55,62970,"Lasting Color Shampoo","hair care","personal care",25000
58,100718,"Whole Wheat Tortillas","tortillas flat bread","bakery",82000
62,73634,"Premium Deli Oven Roasted Turkey Breast","lunch meat","deli",42000
63,84161,"Banana & Sweet Potato Organic Teething Wafers","baby food formula","babies",67000
63,46923,"Banana & Sweet Potato Organic Teething Wafers","baby food formula","babies",67000
63,18162,"Banana & Sweet Potato Organic Teething Wafers","baby food formula","babies",67000
63,55643,"Banana & Sweet Potato Organic Teething Wafers","baby food formula","babies",67000
66,13562,"European Style Spring Mix","packaged vegetables fruits","produce",79000
68,75958,"Pancake Mix, Buttermilk","hot cereal pancake mixes","breakfast",32000
70,24968,"Sweet Cooking Rice Seasoning","asian foods","international",30000
70,51335,"Sweet Cooking Rice Seasoning","asian foods","international",30000
79,19041,"Wild Albacore Tuna No Salt Added","canned meat seafood","canned goods",84000
79,99592,"Wild Albacore Tuna No Salt Added","canned meat seafood","canned goods",84000
79,12875,"Wild Albacore Tuna No Salt Added","canned meat seafood","canned goods",84000
79,5660,"Wild Albacore Tuna No Salt Added","canned meat seafood","canned goods",84000
93,17713,"Uncured Cracked Pepper Beef","popcorn jerky","snacks",50000
93,90117,"Uncured Cracked Pepper Beef","popcorn jerky","snacks",50000
95,26319,"Organic Rice Vinegar","asian foods","international",52000
95,14054,"Organic Rice Vinegar","asian foods","international",52000
99,6948,"Local Living Butter Lettuce","fresh vegetables","produce",36000
99,100158,"Local Living Butter Lettuce","fresh vegetables","produce",36000
100,116798,"Peanut Butter & Strawberry Jam Sandwich","frozen meals","frozen",15000
115,46706,"Scooby-Doo! Fruit Flavored Snacks","fruit vegetable snacks","snacks",17000
116,51713,"English Muffins","breakfast bakery","bakery",6000
116,105240,"English Muffins","breakfast bakery","bakery",6000
116,92688,"English Muffins","breakfast bakery","bakery",6000
116,87664,"English Muffins","breakfast bakery","bakery",6000
116,50842,"English Muffins","breakfast bakery","bakery",6000
116,25941,"English Muffins","breakfast bakery","bakery",6000
116,110900,"English Muffins","breakfast bakery","bakery",6000
117,116589,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,65506,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,113905,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,13066,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,8562,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,113790,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,4562,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,58334,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
117,77602,"Petit Suisse Fruit","specialty cheeses","dairy eggs",1000
118,110900,"Ground Turkey Chub","frozen meat seafood","frozen",34000
121,117717,"Sharp Cheddar","packaged cheese","dairy eggs",84000
121,79667,"Sharp Cheddar","packaged cheese","dairy eggs",84000
123,6845,"Sherry Reserve Vinegar","oils vinegars","pantry",80000
123,38375,"Sherry Reserve Vinegar","oils vinegars","pantry",80000
123,18726,"Sherry Reserve Vinegar","oils vinegars","pantry",80000
127,41669,"Marscapone","other creams cheeses","dairy eggs",18000
127,70220,"Marscapone","other creams cheeses","dairy eggs",18000
128,86653,"Organic Wild Blueberries","frozen produce","frozen",83000
128,113838,"Organic Wild Blueberries","frozen produce","frozen",83000
128,28419,"Organic Wild Blueberries","frozen produce","frozen",83000
130,72317,"Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack","ice cream ice","frozen",7000
130,20008,"Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack","ice cream ice","frozen",7000
130,6695,"Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack","ice cream ice","frozen",7000
130,67611,"Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack","ice cream ice","frozen",7000
130,119140,"Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack","ice cream ice","frozen",7000
