wire,Inductor_Ind,wire,Resistor_Ri,wire,Ammeter_Isource,wire,wire,wire,wire,,
wire,,,,,,,wire,,wire,,
Diode_diode,,,,,,,wire,,wire,,
wire,,,,,,,wire,,wire,,
wire,wire,wire,,,,,wire,,wire,wire,wire
Resistor_Rsource,,wire,,,,,Capacitor_Cap,,Ammeter_ILED,,wire
wire,,Voltmeter_source,,,,,wire,,wire,,Voltmeter_VLED
VoltageSource_Vsource,,wire,,,,,Resistor_Rc,,Resistor_RLED,,wire
wire,wire,wire,,,,,wire,,wire,wire,wire
wire,,,,,,,wire,,wire,,
wire,,,,,,,wire,,wire,,
wire,,,,,,,wire,,wire,,
wire,wire,wire,wire,wire,wire,wire,wire,wire,wire,,
